valor_transacao,tempo_transacao,num_transacoes_mes,origem_internacional,cartao_virtual,fraude
3157.1434999733524,16360.417716126009,26,0,1,0
4530.853737782077,27056.636213243615,8,0,1,0
2670.5556566357304,70573.68371471082,27,0,0,0
1090.172892186325,82801.9172050972,22,0,0,0
8681.7966263745,86120.17282523379,10,0,0,0
6297.6554497519965,58773.67821931535,24,0,0,0
3525.8345604652336,4723.736881403844,36,0,0,0
676.3084560473438,31981.55619100806,40,0,0,0
6263.879568025652,2196.267409652771,40,0,0,1
5987.009938111383,26991.90947890274,18,0,1,0
923.0802937763954,72074.11903534988,30,0,1,0
569.4586622418947,68494.31033193522,36,0,0,0
2372.0848650816456,51485.04288150885,32,0,1,0
2354.8013002112384,84848.16935792333,16,0,0,0
7743.93944930722,51019.3268738418,18,0,0,0
426.96870951716625,31184.409291350723,18,0,0,0
3547.598094505907,31009.4345553024,21,0,1,0
4692.196869610089,46156.51196158923,40,0,0,0
7676.031615156623,20943.159067966095,5,0,0,0
8635.302861503511,71727.62020142074,47,0,0,1
7776.427142905827,42551.976504230915,24,0,0,0
2259.775659878509,72689.78182571231,33,0,0,0
7604.131762987646,43529.07791257723,48,0,0,1
4414.4123296237685,64947.12590051328,22,0,0,0
2175.1499146384153,24728.488065027206,46,0,0,0
6202.892890315336,36649.12152231667,42,0,0,1
1413.0938761988998,69024.65031346281,44,0,0,0
888.4630542457727,84977.67353681593,9,0,0,0
4376.174918066456,58450.65937317541,40,0,0,0
2892.5927304123375,30440.59964182792,45,0,1,0
2731.419240742928,63068.98674929898,36,0,0,0
5490.89849120142,44619.396068218106,6,0,0,0
9651.621330004846,24290.413050059233,4,0,0,0
6924.371036500763,50278.00430077873,33,0,0,1
6448.272681387791,33382.31265239112,35,0,0,1
7258.566888530976,47757.27518976692,7,0,0,0
9383.062704265994,39360.09549558014,24,0,0,0
473.89741988827944,10934.618319485468,9,0,1,0
22.90333451340511,44855.63579287918,7,0,0,0
3464.400257693299,73737.8356703153,13,0,0,0
6780.060725625352,44649.305423661695,45,0,0,1
3141.8379326054296,69563.98439130676,3,1,0,1
7830.882613698877,45533.62538546274,25,0,0,0
6055.898187480764,20237.065868717862,5,0,0,0
1121.4967960257447,31116.804988977157,29,0,1,0
8868.892801046726,20273.501277853647,10,0,0,0
3422.7704602916056,80925.40214498175,24,0,1,0
5512.207957384291,32946.7140468186,24,0,0,0
8157.031843310293,6430.117146608786,25,0,0,0
8545.525095593151,42878.98225679564,23,0,1,0
6273.256974623584,35049.173182804094,45,0,0,1
1495.8164598393957,1101.986671725426,4,0,1,0
7118.814576527524,71698.7073601558,20,0,1,0
3207.953827884209,84594.72116960325,42,0,0,0
5434.098107209163,82888.22779357452,39,0,0,1
5897.514358575819,25154.470193065514,4,0,0,0
2317.237522634158,59149.53920338489,37,0,0,0
114.25944326574283,34139.0370603838,25,0,0,0
7283.286051135951,73677.26120862449,36,0,0,1
